Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svm,label_svm
1164,2022[Cu][sql]2[ASR]3,0.76565,6.06782,9.71096,3671.11,0.747,0.975642,5533.568,1.0807909964794284,1
1163,2022[Cu][sql]2[ASR]2,0.734411,6.47801,10.00176,3687.43,0.759,1.03348,5533.568,1.0796281309603801,1
1162,2022[Cu][sql]2[ASR]1,0.660714,7.25892,10.80829,3676.98,0.7735,1.1707,5533.568,1.077925832538567,1
57,2011[Zn][pcu]3[ASR]8,0.609156,7.89264,14.89039,3659.83,0.7984,1.31067,1539.734,1.0761114830520455,1
995,2020[Zn][nbo]3[ASR]1,0.901032,4.68639,10.18079,3579.94,0.6929,0.769007,1370.928,1.073530851884348,1
38,2007[Zn][pcu]3[ASR]3,0.595037,8.20898,15.04033,3622.91,0.8092,1.35992,1539.734,1.063526992903222,1
955,2020[V][nan]3[ASR]3,1.13183,7.00357,7.18306,3311.52,0.6022,0.53206,1840.392,1.0618488539628026,1
910,2020[InTb][nan]3[ASR]1,1.14162,6.29302,8.80596,3370.99,0.6087,0.533189,3130.976,1.0616558552225226,1
668,2019[Gd][nan]3[ASR]1,1.15112,4.77618,6.72549,3317.65,0.6316,0.548684,3825.368,1.0600839724316276,1
412,2017[Tm][nan]3[ASR]1,0.833314,8.54079,9.97026,3721.19,0.7091,0.850939,2130.016,1.059890074954594,1
727,2019[V][bpq]3[ASR]4,1.39001,5.55808,6.75373,3132.25,0.5612,0.403737,1239.812,1.056009788196727,1
897,2020[Fe][hcb]2[ASR]1,1.26567,6.59237,7.94542,3301.94,0.593,0.468528,3922.132,1.0553092251127698,1
951,2020[U][hcb]2[ASR]2,1.58284,3.91558,5.53669,2059.63,0.7228,0.456647,528.108,1.0526975113116832,1
1100,2021[Nd][lvt]3[ASR]1,1.04871,5.16224,7.87822,3438.31,0.65,0.619807,2857.68,1.0504225905251139,1
1084,2021[Fe][acs]3[ASR]1,0.758444,7.7883,8.23392,3666.42,0.7218,0.951685,1351.764,1.0491903717389208,1
249,2016[Fe][hcb]2[ASR]1,1.0999,3.95494,5.27197,3296.43,0.6524,0.593146,751.488,1.0471259036521574,1
