Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
703,2019[Ni][fes]2[ASR]1,1.13249,3.87274,7.26486,4394.35,0.5354,0.472764,5336.492,0.1686027748344161,-1
1302,2024[Cd][sql]2[ASR]1,1.31913,3.48809,4.6339,4747.32,0.4644,0.35205,1039.728,0.16859596898766305,-1
1025,2021[Cd][nan]3[ASR]2,1.15762,2.84838,7.74736,4551.84,0.5346,0.46181,3245.172,0.1685451161850824,-1
1243,2023[Eu][nan]2[ASR]2,1.23839,4.52351,5.99447,4320.91,0.5031,0.406252,6644.776,0.1685231729315435,-1
728,2019[Yb][nan]2[ASR]1,1.32706,3.83418,4.69516,4035.23,0.4768,0.359289,2462.484,0.16850897071405035,-1
398,2017[Ni][sqc]3[ASR]1,1.20986,3.3599,4.99445,4773.34,0.4738,0.391617,4369.312,0.16844088434823945,-1
1280,2023[Zn][kgd]2[ASR]2,1.60928,3.48777,4.59876,3889.08,0.4443,0.276086,922.016,0.16840868158502853,-1
506,2018[Cu][sql]2[ASR]2,1.32478,2.34733,3.54412,4849.43,0.4186,0.315976,2464.384,0.16828765857149874,-1
1225,2023[Cd][rtl]3[ASR]1,1.3165,3.47458,4.63001,4359.9,0.4971,0.377591,1101.532,0.16827108722103756,-1
1257,2023[Ni][dia]3[ASR]1,1.26015,3.7032,4.96892,4367.43,0.5024,0.398683,665.858,0.16823406680831998,-1
104,2014[Co][sql]2[ASR]1,1.32509,4.32552,5.40194,4033.83,0.4855,0.366389,3475.478,0.1676777263337741,-1
320,2017[Co][nan]2[ASR]1,1.47031,4.04475,4.22259,3987.19,0.4281,0.291163,1324.628,0.16765200699048477,-1
1212,2022[Zn][sql]2[ASR]6,1.31432,2.82052,4.91763,4900.76,0.4256,0.323818,1265.882,0.16732188230043632,-1
109,2014[Cu][dia]3[ASR]3,1.30126,4.32975,4.76997,4545.99,0.4722,0.36288,1759.512,0.16730103914990724,-1
143,2015[Co][nan]2[ASR]1,1.59981,3.10256,4.09445,3879.89,0.38,0.237528,1341.413,0.16726557454415603,-1
1175,2022[Gd][hcb]2[ASR]1,1.36943,3.55599,5.17949,4844.92,0.424,0.309618,3987.852,0.1669515360495082,-1
888,2020[Dy][nan]3[ASR]1,1.68514,2.61462,3.50566,3920.98,0.4044,0.23998,3242.928,0.16677749932389863,-1
107,2014[Cu][dia]3[ASR]1,1.31892,4.18951,4.54582,4588.17,0.4686,0.355292,1759.512,0.16666623409236037,-1
858,2020[Cu][hbt]2[ASR]1,1.47054,3.60346,5.05011,4128.1,0.4933,0.335454,5336.904,0.16665673961302674,-1
821,2020[Co][nan]2[ASR]1,1.18543,3.20688,5.42155,4851.34,0.4662,0.393274,2245.932,0.16662892449272748,-1
428,2017[Zn][dia]3[ASR]8,1.24594,3.36088,4.23572,4597.8,0.4875,0.391271,1858.984,0.16631357593948404,-1
1297,2024[Cd][nan]3[ASR]3,1.27529,2.9067,4.67032,4345.11,0.5058,0.396616,1899.116,0.166306212019816,-1
72,2013[Cd][nan]3[ASR]6,1.37492,3.97203,5.6211,3946.32,0.4959,0.360676,2608.116,0.1662026970049586,-1
178,2015[Zn][nan]2[ASR]2,1.66435,4.27733,5.02343,3972.73,0.409,0.245741,1677.396,0.16619820833082288,-1
